Name,Adjacent Counties,,
ESCAMBIA,SANTA ROSA,,
SANTA ROSA,OKALOOSA,,
OKALOOSA,WALTON,,
WALTON,HOLMES,WASHINGTON,BAY
HOLMES,WASHINGTON,JACKSON,
WASHINGTON,JACKSON,BAY,
BAY,CALHOUN,GULF,
JACKSON,CALHOUN,GADSDEN,
CALHOUN,LIBERTY,GULF,
GULF,LIBERTY,FRANKLIN,
GADSDEN,LIBERTY,LEON,
LIBERTY,LEON,WAKULLA,FRANKLIN
FRANKLIN,WAKULLA,,
LEON,JEFFERSON,WAKULLA,
WAKULLA,JEFFERSON,,
JEFFERSON,MADISON,TAYLOR,
MADISON,HAMILTON,SUWANNEE,LAFAYETTE
TAYLOR,LAFAYETTE,DIXIE,
HAMILTON,COLUMBIA,SUWANNEE,
SUWANNEE,LAFAYETTE,GILCHRIST,COLUMBIA
LAFAYETTE,DIXIE,GILCHRIST,
DIXIE,GILCHRIST,LEVY,
COLUMBIA,BAKER,UNION,ALACHUA
GILCHRIST,ALACHUA,LEVY,
LEVY,,,
BAKER,,,
UNION,,,
BRADFORD,,,
ALACHUA,,,
NASSAU,,,
DUVAL,,,
CLAY,,,
SAINT JOHNS,,,
PUTNAM,,,
FLAGLER,,,
MARION,,,
VOLUSIA,,,
CITRUS,,,
SUMTER,,,
LAKE,,,
ORANGE,,,
SEMINOLE,,,
HERNANDO,,,
PASCO,,,
POLK,,,
OSCEOLA,,,
BREVARD,,,
PINELLAS,,,
INDIAN RIVER,,,
HILLSBOROUGH,,,
MANATEE,,,
HARDEE,,,
HIGHLANDS,,,
OKEECHOBEE,,,
MARTIN,,,
SAINT LUCIE,,,
SARASOTA,,,
DE SOTO,,,
STUART MARTIN,,,
CHARLOTTE,,,
GLADES,,,
PALM BEACH,,,
LEE,,,
HENDRY,,,
BROWARD,,,
COLLIER,,,
MONROE,,,
MIAMI-DADE,,,
